Number,Question,A,B,C,D,Answer,Subject,correct,prediction
17,Aşağıdaki cümlelerin hangisinde hem isim hem de sıfat tamlaması bir arada kullanılmıştır?,Kırmızı araba hızla geçti.,Evin büyük bahçesi çok güzeldi.,Eski kitaplar rafta duruyordu.,Küçük çocuk top oynuyordu.,B,turkish_grammar,True,B
18,Aşağıdaki cümlelerin hangisinde şart kipi farklı bir işlevde kullanılmıştır?,Erken kalkarsan okula yetişirsin.,Keşke gelebilsem.,Çalışırsan başarırsın.,Yağmur yağarsa pikniğe gitmeyiz.,B,turkish_grammar,False,D
19,"Aşağıdaki cümlelerin hangisinde ""ki"" farklı bir görevde kullanılmıştır?",Öyle güzel bir manzara ki anlatamam.,Benimki seninkinden daha iyi.,Biliyorum ki başaracaksın.,Öyle bir film izledim ki unutamıyorum.,B,turkish_grammar,False,C
20,Aşağıdaki cümlelerin hangisinde zincirleme isim tamlaması kullanılmıştır?,Okulun bahçesi çok geniş.,Evin kapısının kilidi bozulmuş.,Ahmet'in arabası kırmızı.,Ağacın dalları rüzgarda sallanıyor.,B,turkish_grammar,False,C
21,Hangi cümlede küçültme eki alan kelime sıfat görevinde kullanılmamıştır?,Minicik elleriyle resim yapıyordu.,Küçücük bir ev almışlar.,Azıcık dinlensem iyi olacak.,Miniminnacık kuşlar cıvıldaşıyordu.,C,turkish_grammar,False,A
22,Aşağıdaki cümlelerin hangisinde ünlem cümlesi farklı bir amaçla kullanılmıştır?,Ne güzel bir manzara!,Eyvah! Anahtarları unuttum.,Yaşasın! Sınavı geçtim.,Off! Çok sıkıldım.,A,turkish_grammar,False,D
23,Hangi cümlede iyelik eki almış kelime yüklem görevinde kullanılmıştır?,Bu kalem benim.,Onun arabası kırmızı.,Bizim ev şehir merkezinde.,Senin fikirlerin çok değerli.,A,turkish_grammar,False,D
24,Aşağıdaki cümlelerin hangisinde zamir kullanılmıştır?,Kitapları dün aldım.,Onu hiç tanımıyorum.,Arabayı garaja park etti.,Çiçekler bahçede açtı.,B,turkish_grammar,True,B
25,Aşağıdaki cümlelerin hangisinde bir deyim kullanılmıştır?,Sabah kahvaltı yaptık.,Çok çalışkan bir öğrencidir.,İşleri yoluna koydu.,Öğretmen ödevi kontrol etti.,C,turkish_semantics,True,C
26,Kırmak kelimesi hangi cümlede deyim olarak kullanılmıştır?,Bardağı kırdı ve hemen temizlemeye başladı.,Kalbini kırdı ve bu yüzden onunla konuşmuyor.,Kolunu kırdı ve hastaneye gitmek zorunda kaldı.,Yumurtayı kırdı ve tavaya döktü.,B,turkish_semantics,True,B
27,Göz kelimesi aşağıdaki cümlelerin hangisinde mecaz anlamda kullanılmıştır?,Gözü ağrıyor.,Her şeyi gözüyle gördü.,Gözü yükseklerde.,Renkli gözleri var.,C,turkish_semantics,False,D
28,Aşağıdaki cümlelerin hangisinde kişileştirme sanatı vardır?,Rüzgar ağaçları sallıyordu ve yapraklar hışırdıyordu.,Güneş bize gülümsedi ve tüm gün boyunca içimizi ısıttı.,Çocuk parkta oynuyor ve çok eğleniyor.,Kitap okumayı çok seviyorum ve her gün bir saatimi buna ayırıyorum.,B,turkish_semantics,True,B
29,Ağır kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Çanta çok ağır ve taşıyamıyorum.,Onun sözü ağır geldi ve ne diyeceğimi bilemedim.,Yüksek sesle konuştu ve herkes onu duydu.,Sorular çok zordu ve çoğunu yapamadım.,B,turkish_semantics,True,B
30,"Aşağıdaki cümlelerin hangisinde ""baş"" kelimesi mecaz anlamda kullanılmıştır?",Baş ağrım var ve bu beni çok rahatsız ediyor.,Takımın başında o var ve herkesi yönlendiriyor.,Yeni bir işe başlıyorum ve çok heyecanlıyım.,Baş köşede oturuyor ve herkesin dikkatini çekiyor.,B,turkish_semantics,True,B
31,Dil kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Dil öğrenmek zordur ama eğlencelidir.,Bu kitabın dili çok akıcı ve anlaşılır.,Dilini tut yoksa başın derde girebilir.,Yabancı dil yarışı düzenlendi ve birçok kişi katıldı.,C,turkish_semantics,True,C
32,"Aşağıdaki cümlelerin hangisinde ""el"" kelimesi mecaz anlamda kullanılmıştır?",Elini kaldır ve soruya cevap ver.,Bu işi el birliği ile tamamladık.,Eline sağlık çok güzel bir yemek olmuş.,El yazısı çok okunaklı.,B,turkish_semantics,True,B
33,Yol kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Yol çok uzundu ve yürümek zordu.,Kariyer yolunda hızlı adımlarla ilerliyor.,Yolculuk sırasında birçok yer gördü.,Yolda kalmış bir araba gördük.,B,turkish_semantics,True,B
34,Soğuk kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Hava bugün çok soğuk.,Onun soğuk tavırları beni çok üzüyor.,Buzdolabındaki süt çok soğuk.,Soğuk su içmek serinletici.,B,turkish_semantics,True,B
35,Aşağıdaki eserlerden hangisi Halide Edib Adıvar'a aittir?,Kuyucaklı Yusuf,Çalıkuşu,Sinekli Bakkal,Hanımın Çiftliği,C,turkish_literature,False,D
36,"Yahya Kemal Beyatlı'nın ""Sessiz Gemi"" şiirinde işlediği ana tema nedir?",Aşk,Ölüm,Yalnızlık,Doğa,B,turkish_literature,False,D
37,Tutunamayanlar romanının yazarı kimdir?,Oğuz Atay,Orhan Pamuk,Ahmet Hamdi Tanpınar,Sabahattin Ali,A,turkish_literature,False,D
38,"Reşat Nuri Güntekin'in ""Çalıkuşu"" romanındaki Feride karakteri hangi mesleği yapmaktadır?",Doktor,Öğretmen,Hemşire,Yazar,B,turkish_literature,False,D
39,Saatleri Ayarlama Enstitüsü adlı eserin yazarı kimdir?,Yakup Kadri Karaosmanoğlu,Reşat Nuri Güntekin,Ahmet Hamdi Tanpınar,Halide Edib Adıvar,C,turkish_literature,True,C
40,Aşağıdaki eserlerden hangisi Nazım Hikmet Ran'a aittir?,Kürk Mantolu Madonna,İçimizdeki Şeytan,Memleketimden İnsan Manzaraları,İstanbul Hatırası,C,turkish_literature,True,C
41,"Aşağıdaki şairlerden hangisi ""Garip"" akımının temsilcilerinden biridir?",Orhan Veli Kanık,Ahmet Haşim,Nazım Hikmet,Mehmet Akif Ersoy,A,turkish_literature,True,A
42,Ayaşlı ve Kiracıları romanı kime aittir?,Tarık Buğra,Yakup Kadri Karaosmanoğlu,Sait Faik Abasıyanık,Memduh Şevket Esendal,D,turkish_literature,False,A
43,Küçük Ağa romanının yazarı kimdir?,Tarık Buğra,Halide Edib Adıvar,Reşat Nuri Güntekin,Yakup Kadri Karaosmanoğlu,A,turkish_literature,False,C
44,Aşağıdaki eserlerden hangisi Zülfü Livaneli'ye aittir?,Serenad,İnce Memed,Anayurt Oteli,Kuyucaklı Yusuf,A,turkish_literature,True,A
45,Aşağıdaki eserlerden hangisi bir tiyatro eseri değildir?,Keşanlı Ali Destanı,Ferhad ile Şirin,Kaplumbagalar,Şair Evlenmesi,C,turkish_literature,False,D
46,Sinekli Bakkal romanının ana teması nedir?,Toplumsal değişim,Aşk ve romantizm,Savaşın etkileri,Bireysel mücadele,A,turkish_literature,False,D
47,Kürk Mantolu Madonna romanında anlatılan aşk hikayesi hangi karakterler arasında geçer?,Raif ve Maria Puder,Ali ve Aysel,Mehmet ve Fatma,Kemal ve Füsun,A,turkish_literature,False,D
48,"Orhan Kemal'in ""Bereketli Topraklar Üzerinde"" romanı hangi konuyu işler?",Göç ve kentleşme,Toprak reformu,İşçi-işveren ilişkileri,Aşk ve ihanet,C,turkish_literature,False,A
49,"Ahmet Hamdi Tanpınar'ın ""Huzur"" romanında hangi dönem İstanbul'u anlatılır?",Osmanlı İmparatorluğu'nun kuruluş dönemi,Osmanlı İmparatorluğu'nun çöküş dönemi,Cumhuriyetin ilk yılları,Günümüz,C,turkish_literature,False,D
50,"Yaşar Kemal'in ""İnce Memed"" romanında başkahraman İnce Memed'in en büyük düşmanı kimdir?",Ali Bey,Abdi Ağa,Veli Efendi,Köylüler,B,turkish_literature,False,X
51,"Orhan Veli Kanık'ın ""Garip"" şiir akımıyla getirdiği yenilik nedir?",Aruz ölçüsünü kullanması,Serbest ölçüyle yazması,Divan edebiyatına yönelmesi,Halk şiirini benimsemesi,B,turkish_literature,True,B
52,Aylak Adam romanının yazarı kimdir?,Oğuz Atay,Yusuf Atılgan,Adalet Ağaoğlu,Latife Tekin,B,turkish_literature,False,D
53,"Halide Edib Adıvar'ın ""Vurun Kahpeye"" romanında işlenen ana tema nedir?",Aşk ve ihanet,Milli mücadele,Sosyal adaletsizlik,Kadın hakları,B,turkish_literature,False,D
54,Türkiye Cumhuriyeti'nin kurucusu ve ilk Cumhurbaşkanı kimdir?,İsmet İnönü,Mustafa Kemal Atatürk,Süleyman Demirel,Turgut Özal,B,turkish_politics,True,B
55,1980 yılında Türkiye'de gerçekleştirilen askeri darbenin lideri kimdir?,Kenan Evren,Cemal Gürsel,Turgut Özal,Bülent Ecevit,A,turkish_politics,True,A
56,Adalet ve Kalkınma Partisi (AKP) hangi yıl kurulmuştur?,1999,2001,2003,2005,B,turkish_politics,False,A
57,Türkiye Cumhuriyeti'nde Cumhurbaşkanlığı Hükümet Sistemi'ne geçiş hangi yıl gerçekleşmiştir?,2014,2015,2017,2018,D,turkish_politics,False,C
58,Gezi Parkı protestoları hangi yıl başlamıştır?,2011,2012,2013,2014,C,turkish_politics,False,B
59,15 Temmuz 2016'da Türkiye'de ne olmuştur?,Genel seçimler,Askeri darbe girişimi,Ekonomik kriz,Deprem,B,turkish_politics,True,B
60,2017 Anayasa değişikliği referandumunda Türkiye neyi oylamıştır?,Yeni anayasa,Parlamenter sisteme dönüş,Cumhurbaşkanlığı hükümet sistemi,Avrupa Birliği üyeliği,C,turkish_politics,True,C
61,Cumhuriyet Halk Partisi (CHP) hangi yıl kurulmuştur?,1919,1923,1927,1931,B,turkish_politics,False,A
62,Türkiye Büyük Millet Meclisi (TBMM) hangi yıl açılmıştır?,1919,1920,1921,1922,B,turkish_politics,False,D
63,Recep Tayyip Erdoğan'ın ilk Başbakan olduğu yıl hangisidir?,2001,2002,2003,2004,C,turkish_politics,False,B
64,1980 öncesinde Türkiye'de yaşanan siyasi ve toplumsal çatışmalara verilen ad nedir?,Soğuk Savaş,İç Savaş,12 Eylül Olayları,Kara Eylül,D,turkish_politics,True,D
65,Susurluk Kazası olarak bilinen olay hangi yıl gerçekleşmiştir?,1992,1994,1996,1998,C,turkish_politics,False,B
66,Türkiye'nin ilk kadın Başbakanı kimdir?,Tansu Çiller,Meral Akşener,Emine Ülker Tarhan,Fatma Şahin,A,turkish_politics,True,A
67,Milliyetçi Hareket Partisi'nin (MHP) kurucusu kimdir?,Alparslan Türkeş,Devlet Bahçeli,Turgut Özal,Süleyman Demirel,A,turkish_politics,True,A
68,28 Şubat süreci olarak bilinen post-modern darbe hangi yıl gerçekleşmiştir?,1995,1996,1997,1998,C,turkish_politics,False,A
69,2023 Türkiye genel seçimlerinde hangi parti en fazla oy almıştır?,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,İyi Parti,Milliyetçi Hareket Partisi,B,turkish_politics,True,B
70,Mavi Vatan kavramı Türkiye'nin hangi politikasıyla ilgilidir?,Tarım politikası,Denizcilik ve deniz hakları,Enerji politikası,Turizm politikası,B,turkish_politics,True,B
71,1974 Kıbrıs Barış Harekatı hangi başbakan döneminde gerçekleşmiştir?,Bülent Ecevit,Süleyman Demirel,Adnan Menderes,Turgut Özal,A,turkish_politics,True,A
72,12 Mart 1971'de Türkiye'de ne olmuştur?,Askeri darbe,Türkiye'nin NATO üyeliği,Avrupa Birliği'ne üyelik başvurusu,Ekonomik reform paketi,A,turkish_politics,True,A
73,Türkiye'nin en uzun süre görev yapan Cumhurbaşkanı kimdir?,Mustafa Kemal Atatürk,İsmet İnönü,Turgut Özal,Recep Tayyip Erdoğan,D,turkish_politics,True,D
74,Türkiye'nin milli içeceği olarak kabul edilen içecek hangisidir?,Çay,Kahve,Rakı,Ayran,D,turkish_culture,True,D
75,Geleneksel Türk el sanatlarından biri olan 'kilim' nedir?,Heykel,Dokuma,Resim,Müzik aleti,B,turkish_culture,True,B
76,Türk kahvesi pişirilirken hangi malzeme kullanılmaz?,Su,Şeker,Krema,Kahve,C,turkish_culture,False,D
77,Mevlana'nın türbesi hangi şehirde bulunmaktadır?,İstanbul,Ankara,Konya,İzmir,C,turkish_culture,True,C
78,"Hangi Türk bayramı ""Nevruz"" olarak da bilinir?",Kurban Bayramı,Ramazan Bayramı,Zafer Bayramı,Hıdırellez,D,turkish_culture,True,D
79,Türk halk müziğinde kullanılan telli bir çalgı olan 'bağlama' hangi tür müzikte yaygındır?,Klasik müzik,Pop müzik,Türk halk müziği,Caz müzik,C,turkish_culture,True,C
80,Türk kültüründe düğünlerde oynanan geleneksel halk oyunlarından biri hangisidir?,Tango,Vals,Horon,Rumba,C,turkish_culture,True,C
81,"Hangi Türk yemeği genellikle ""döner"" olarak adlandırılır?",Kebap,İskender,Adana kebabı,Şiş kebap,B,turkish_culture,False,D
82,Türk kültüründe Ramazan ayında akşam ezanıyla birlikte oruç açmaya ne denir?,Kahvaltı,İftar,Sahur,Öğle yemeği,B,turkish_culture,True,B
83,Karagöz ve Hacivat hangi Türk sanatının örneğidir?,Tiyatro,Gölge oyunu,Opera,Bale,B,turkish_culture,True,B
84,Türk kültüründe 'nazarlık' ne amaçla kullanılır?,Kötü ruhları kovmak,Güzel görünmek,İyi şans getirmek,Kötü gözlerden korunmak,D,turkish_culture,True,D
85,Türk halk edebiyatının önemli türlerinden biri olan 'destan' nedir?,Kısa hikaye,Şiir,Uzun hikaye,Tiyatro oyunu,B,turkish_culture,False,C
86,Türk kültüründe önemli bir yere sahip olan 'lokum' hangi özel günlerde sıkça hediye edilir?,Bayramlar,Doğum günleri,Yılbaşı,Evlilik yıldönümleri,A,turkish_culture,False,D
87,Türk kültüründe 'nazarlık' ne amaçla kullanılır?,Para istemek,Güzel görünmek,İyi şans getirmek,Kötü gözlerden korunmak,D,turkish_culture,True,D
88,Türk mitolojisinde sıkça bahsedilen kutsal dağ hangisidir?,Ağrı Dağı,Erciyes Dağı,Toros Dağları,Kaf Dağı,D,turkish_culture,False,A
89,Hangi Türk şarkıcı 1970'lerin sonunda ve 1980'lerde büyük başarı elde etmiştir?,Barış Manço,Sezen Aksu,Tarkan,Cem Karaca,A,turkish_culture,False,D
90,Türkiye'nin en büyük gölü hangisidir?,Tuz Gölü,Van Gölü,Beyşehir Gölü,Eğirdir Gölü,B,turkish_culture,True,B
91,Hangi Türk tatlısı yufka ve ceviz ve şerbet ile yapılır?,Baklava,Künefe,Şekerpare,Sütlaç,A,turkish_culture,True,A
92,Türk kültüründe 'Mevlid' nedir?,Evlilik töreni,Doğum günü kutlaması,Hz. Muhammed'in doğum günü,Yeni yıl kutlaması,C,turkish_culture,True,C
93,Türk kültüründe önemli bir yer tutan 'çömlekçilik' hangi malzemeyle yapılır?,Taş,Metal,Kil,Ahşap,C,turkish_culture,True,C
94,Geleneksel Türk halk oyunlarından biri olan 'zeybek' hangi bölgede yaygındır?,Karadeniz,Ege,Akdeniz,Doğu Anadolu,B,turkish_culture,True,B
95,Türk kültüründe evlilik öncesi yapılan 'kına gecesi' hangi amacı taşır?,Gelinin moralini yükseltmek,Misafirleri eğlendirmek,Damadı tanıtmak,Ev hazırlıklarını tamamlamak,A,turkish_culture,True,A
96,Türk kültüründe 'Hamam' ne anlama gelir?,Otel,Banyo,Restoran,Kahvehane,B,turkish_culture,True,B
97,Türk kültüründe 'Aşure Günü' hangi olayın anısına kutlanır?,Hz. Muhammed'in doğumu,Hz. Ali'nin ölümü,Kurban Bayramı,Nuh'un Gemisi,D,turkish_culture,True,D
98,Geleneksel Türk el sanatlarından biri olan 'oya' hangi malzemeyle yapılır?,Tahta,Kağıt,İplik,Cam,C,turkish_culture,True,C
99,Türk kültüründe 'Geleneksel Türk Tiyatrosu'nda en bilinen karakterlerden biri olan 'Kavuklu' hangi oyunda yer alır?,Meddah,Karagöz,Ortaoyunu,Köy seyirlik oyunları,C,turkish_culture,False,D
100,Türk kültüründe 'Hacivat ve Karagöz' oyunlarında Hacivat karakteri genellikle nasıl bir kişiliğe sahiptir?,Cahil ve kurnaz,Bilge ve ciddi,Komik ve saf,Sinirli ve ciddi,B,turkish_culture,False,C
101,Türk kültüründe 'asker uğurlama' sırasında yapılan geleneksel davranışlardan biri nedir?,Düğün yapmak,Kına gecesi düzenlemek,Mevlit okutmak,Kurşun dökmek,B,turkish_culture,False,D
102,Türk kültüründe 'Yeniçeri Ocağı' hangi dönemde kurulmuştur?,Osmanlı İmparatorluğu,Selçuklu Devleti,Cumhuriyet Dönemi,Bizans İmparatorluğu,A,turkish_culture,True,A
103,Türk kültüründe yaygın olarak görülen 'hüsn-i hat' sanatı nedir?,Resim sanatı,Kaligrafi sanatı,Heykel sanatı,Dokuma sanatı,B,turkish_culture,True,B
104,Türk kültüründe 'Sema' ayini hangi tarikatın uygulamasıdır?,Nakşibendi,Kadirî,Mevlevî,Alevî,C,turkish_culture,True,C
105,Halk Edebiyatı şairlerinden biri olan Karacaoğlan hangi dönemde yaşamıştır?,Osmanlı İmparatorluğu,Selçuklu İmparatorluğu,Cumhuriyet Dönemi,Modern Dönem,A,turkish_culture,True,A
106,"Türk sinemasında ""Yeşilçam"" dönemi hangi yıllar arasında kabul edilir?",1920-1940,1950-1980,1980-2000,2000 ve sonrası,B,turkish_culture,True,B
107,Hangi şehir Türkiye'nin kültür başkenti olarak bilinir?,İstanbul,Ankara,İzmir,Antalya,A,turkish_culture,True,A
108,"Fuzuli'nin ""Leyla ile Mecnun"" mesnevisi hangi Türk edebiyat türünün örneğidir?",Modern Roman,Halk Hikayesi,Divan Edebiyatı,Masal,C,turkish_culture,True,C
109,"Türk halk oyunlarından biri olan ""Horon"" hangi bölgeyle eşleştirilir?",Ege Bölgesi,Karadeniz Bölgesi,Marmara Bölgesi,Doğu Anadolu Bölgesi,B,turkish_culture,True,B
110,Yağlı Güreş etkinlikleri hangi şehirde düzenlenen Kırkpınar Güreş Festivali ile ünlüdür?,Edirne,Bursa,Antalya,İstanbul,A,turkish_culture,True,A
111,Ebru sanatı nedir?,Dokuma sanatı,Tahta oyma sanatı,Suda yüzen boyalarla yapılan kağıt süsleme sanatı,Seramik sanatı,C,turkish_culture,True,C
112,"Türk mutfağında ""mantı"" genellikle hangi malzeme ile doldurulur?",Peynir,Ispanak,Et,Patates,C,turkish_culture,True,C
113,Mehteran nedir?,Geleneksel Türk mutfağı,Geleneksel Türk askeri bandosu,Bir tür halk oyunu,Bir tür şerbet,B,turkish_culture,True,B
114,Kına gecesi hangi geleneksel Türk töreninin bir parçasıdır?,Doğum töreni,Düğün töreni,Sünnet töreni,Bayram kutlaması,B,turkish_culture,True,B
115,Türklerin Orta Asya'dan Anadolu'ya göç etmeye başlaması hangi savaş ile hızlanmıştır?,Kurtuluş Savaşı,Sakarya Meydan Muharebesi,Malazgirt Savaşı,Miryokefalon Savaşı,C,turkish_history,True,C
116,İstanbul'un fethi hangi padişah döneminde gerçekleşmiştir?,Yavuz Sultan Selim,Fatih Sultan Mehmet,Kanuni Sultan Süleyman,II. Bayezid,B,turkish_history,True,B
117,İstiklal Marşının yazarı kimdir?,Yahya Kemal Beyatlı,Mehmet Akif Ersoy,Orhan Veli Kanık,Namık Kemal,B,turkish_history,True,B
118,Osmanlı İmparatorluğu'nda ilk anayasayı (Kanun-i Esasi) ilan eden padişah kimdir?,II. Abdülhamid,I. Mahmud,III. Selim,V. Murad,A,turkish_history,False,D
119,Türk Kurtuluş Savaşı hangi antlaşma ile sona ermiştir?,Mondros Mütarekesi,Mudanya Ateşkes Antlaşması,Sevr Antlaşması,Lozan Antlaşması,D,turkish_history,True,D
120,Mustafa Kemal Atatürk'ün Samsun'a çıkarak Kurtuluş Savaşı'nı başlattığı tarih nedir?,19 Mayıs 1919,23 Nisan 1920,29 Ekim 1923,30 Ağustos 1922,A,turkish_history,True,A
121,Tanzimat Fermanı hangi padişah döneminde ilan edilmiştir?,II. Mahmud,Abdülmecid,I. Abdülhamid,IV. Murad,B,turkish_history,True,B
122,Türkiye Cumhuriyeti'nin ilk Başbakanı kimdir?,İsmet İnönü,Celal Bayar,Adnan Menderes,Turgut Özal,A,turkish_history,True,A
123,"Osmanlı İmparatorluğu'nda ""Lale Devri"" olarak bilinen dönem hangi padişah döneminde yaşanmıştır?",III. Ahmet,I. Abdülhamid,II. Mahmud,I. Mustafa,A,turkish_history,False,X
124,Osmanlı İmparatorluğu'nun ilk başkenti neresidir?,İstanbul,Ankara,Edirne,Bursa,D,turkish_history,True,D
125,Ankara'nın Türkiye'nin başkenti olarak ilan edilmesi hangi yıl gerçekleşmiştir?,1920,1923,1925,1930,B,turkish_history,True,B
126,Osmanlı İmparatorluğu'nun en uzun süre tahtta kalan padişahı kimdir?,Kanuni Sultan Süleyman,II. Abdülhamid,IV. Murad,Fatih Sultan Mehmet,A,turkish_history,True,A
127,"Kurtuluş Savaşı'nın ilk zaferi olan ""Sakarya Meydan Muharebesi"" hangi yıl gerçekleşmiştir?",1919,1920,1921,1922,C,turkish_history,True,C
128,II. Meşrutiyet hangi yıl ilan edilmiştir?,1876,1908,1920,1930,B,turkish_history,True,B
129,Osmanlı İmparatorluğu'nun Batı'ya karşı ilk büyük zaferi hangi savaşta kazanılmıştır?,Kosova Savaşı,Niğbolu Savaşı,Varna Savaşı,Mohaç Savaşı,B,turkish_history,False,D
130,Cumhuriyet ilan edildikten sonra Türkiye'nin ilk Cumhurbaşkanı kim olmuştur?,İsmet İnönü,Celal Bayar,Mustafa Kemal Atatürk,Fevzi Çakmak,C,turkish_history,True,C
131,"Osmanlı İmparatorluğu'nun ilk anayasası olan ""Kanun-i Esasi"" hangi yıl ilan edilmiştir?",1839,1856,1876,1908,C,turkish_history,True,C
132,İstiklal Marşı hangi tarihte TBMM tarafından kabul edilmiştir?,1920,1921,1922,1923,B,turkish_history,False,D
133,Bir tren saatte 90 km hızla giderek 3 saatte kaç km yol alır?,270 km,300 km,250 km,200 km,A,numeric_reasoning,False,B
134,"Bir ABCD dikdörtgeninin AB kenarı 10 cm, BC 5 cm'dir. Dikdörtgenin çevresi kaç cm'dir?",30 cm,25 cm,20 cm,35 cm,A,numeric_reasoning,True,A
135,Bir otomobil 60 km/h hızla hareket ettiğinde 3 saatte kaç km yol alır?,180 km,200 km,150 km,160 km,A,numeric_reasoning,False,D
136,4'ün karesi ile 3'ün küpünün toplamı kaçtır?,43,64,81,73,A,numeric_reasoning,True,A
137,Bir havuz 5 saatte dolmaktadır. Aynı havuz 2 saatte kaçta kaçı dolar?,2/5,1/3,1/2,2/3,A,numeric_reasoning,False,D
138,"2^32 litrelik bir havuz her gün 2^2 litre su ile dolduruluyor. Eklenen su miktarı her gün 2 katına çıkarılıyor. Su, havuzun yarısına kaçıncı günde gelmiştir?",8,12,29,16,C,numeric_reasoning,False,D
139,"Bir araba yarım saatte 60 km hızla 3 saat boyunca yol alırsa, toplam kaç km yol almış olur?",180 km,360 km,150 km,220 km,B,numeric_reasoning,True,B
140,"Bir işçi 5 saatte 25 birim iş yapıyorsa, aynı hızla çalışırsa 8 saatte kaç birim iş yapar?",50 birim,35 birim,45 birim,40 birim,D,numeric_reasoning,True,D
141,Bir mağaza %15 indirimle 170 TL'ye satılan bir ürünü indirimsiz kaç TL'ye satıyordu?,200 TL,180 TL,190 TL,210 TL,A,numeric_reasoning,False,D
142,"Bir sayının %25'i 80 ise, bu sayı kaçtır?",320,300,350,400,A,numeric_reasoning,False,D
143,"Bir kasada 400 elma vardır. Her gün 80 elma satılırsa, kaç gün sonra kasada elma kalmaz?",5 gün,4 gün,6 gün,8 gün,A,numeric_reasoning,False,D
