,Question,A,B,C,D,Answer,Subject
16,Hangi cümlede işteş çatılı bir fiil kullanılmıştır?,Çocuklar bahçede oynuyor.,Öğrenciler sınıfta tartışıyor.,Kediler süt içiyor.,Kuşlar gökyüzünde uçuyor.,B,Turkish Grammar
17,Aşağıdaki cümlelerin hangisinde zarf tümleci yoktur?,Hızlıca koştu.,Kitabı dikkatle okudu.,Bahçede çiçekler açmış.,Yarın okula gideceğim.,C,Turkish Grammar
18,Hangi cümlede dolaylı anlatım kullanılmıştır?,Ayşe "Yarın geleceğim" dedi.,Ali geldiğini söyledi.,Hava çok güzelmiş.,Lütfen sessiz olun.,B,Turkish Grammar
19,Aşağıdaki cümlelerin hangisinde hem isim hem de sıfat tamlaması bir arada kullanılmıştır?,Kırmızı araba hızla geçti.,Evin büyük bahçesi çok güzeldi.,Eski kitaplar rafta duruyordu.,Küçük çocuk top oynuyordu.,B,Turkish Grammar
20,Aşağıdaki cümlelerin hangisinde hem isim hem de sıfat tamlaması bir arada kullanılmıştır?,Kırmızı araba hızla geçti.,Evin büyük bahçesi çok güzeldi.,Eski kitaplar rafta duruyordu.,Küçük çocuk top oynuyordu.,B,Turkish Grammar
21,Aşağıdaki cümlelerin hangisinde şart kipi farklı bir işlevde kullanılmıştır?,Erken kalkarsan okula yetişirsin.,Keşke gelebilsem.,Çalışırsan başarırsın.,Yağmur yağarsa pikniğe gitmeyiz.,B,Turkish Grammar
22,Aşağıdaki cümlelerin hangisinde "ki" farklı bir görevde kullanılmıştır?,Öyle güzel bir manzara ki anlatamam.,Benimki seninkinden daha iyi.,Biliyorum ki başaracaksın.,Öyle bir film izledim ki unutamıyorum.,B,Turkish Grammar
23,Aşağıdaki cümlelerin hangisinde zincirleme isim tamlaması kullanılmıştır?,Okulun bahçesi çok geniş.,Evin kapısının kilidi bozulmuş.,Ahmet'in arabası kırmızı.,Ağacın dalları rüzgarda sallanıyor.,B,Turkish Grammar
24,Hangi cümlede küçültme eki alan kelime sıfat görevinde kullanılmamıştır?,Minicik elleriyle resim yapıyordu.,Küçücük bir ev almışlar.,Azıcık dinlensem iyi olacak.,Miniminnacık kuşlar cıvıldaşıyordu.,C,Turkish Grammar
25,Aşağıdaki cümlelerin hangisinde ünlem cümlesi farklı bir amaçla kullanılmıştır?,Ne güzel bir manzara!,Eyvah! Anahtarları unuttum.,Yaşasın! Sınavı geçtim.,Off! Çok sıkıldım.,A,Turkish Grammar
26,Hangi cümlede iyelik eki almış kelime yüklem görevinde kullanılmıştır?,Bu kalem benim.,Onun arabası kırmızı.,Bizim ev şehir merkezinde.,Senin fikirlerin çok değerli.,A,Turkish Grammar
27,Aşağıdaki cümlelerin hangisinde zamir kullanılmıştır?,Kitapları dün aldım.,Onu hiç tanımıyorum.,Arabayı garaja park etti.,Çiçekler bahçede açtı.,B,Turkish Grammar
28,Aşağıdaki cümlelerin hangisinde bir deyim kullanılmıştır?,Sabah kahvaltı yaptık.,Çok çalışkan bir öğrencidir.,İşleri yoluna koydu.,Öğretmen ödevi kontrol etti.,C,Turkish Semantics
29,Kırmak kelimesi hangi cümlede deyim olarak kullanılmıştır?,Bardağı kırdı ve hemen temizlemeye başladı.,Kalbini kırdı ve bu yüzden onunla konuşmuyor.,Kolunu kırdı ve hastaneye gitmek zorunda kaldı.,Yumurtayı kırdı ve tavaya döktü.,B,Turkish Semantics
30,Göz kelimesi aşağıdaki cümlelerin hangisinde mecaz anlamda kullanılmıştır?,Gözü ağrıyor.,Her şeyi gözüyle gördü.,Gözü yükseklerde.,Renkli gözleri var.,C,Turkish Semantics
31,Aşağıdaki cümlelerin hangisinde kişileştirme sanatı vardır?,Rüzgar ağaçları sallıyordu ve yapraklar hışırdıyordu.,Güneş bize gülümsedi ve tüm gün boyunca içimizi ısıttı.,Çocuk parkta oynuyor ve çok eğleniyor.,Kitap okumayı çok seviyorum ve her gün bir saatimi buna ayırıyorum.,B,Turkish Semantics
32,Ağır kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Çanta çok ağır ve taşıyamıyorum.,Onun sözü ağır geldi ve ne diyeceğimi bilemedim.,Yüksek sesle konuştu ve herkes onu duydu.,Sorular çok zordu ve çoğunu yapamadım.,B,Turkish Semantics
33,Aşağıdaki cümlelerin hangisinde "baş" kelimesi mecaz anlamda kullanılmıştır?,Baş ağrım var ve bu beni çok rahatsız ediyor.,Takımın başında o var ve herkesi yönlendiriyor.,Yeni bir işe başlıyorum ve çok heyecanlıyım.,Baş köşede oturuyor ve herkesin dikkatini çekiyor.,B,Turkish Semantics
34,Dil kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Dil öğrenmek zordur ama eğlencelidir.,Bu kitabın dili çok akıcı ve anlaşılır.,Dilini tut yoksa başın derde girebilir.,Yabancı dil yarışı düzenlendi ve birçok kişi katıldı.,C,Turkish Semantics
35,Aşağıdaki cümlelerin hangisinde "el" kelimesi mecaz anlamda kullanılmıştır?,Elini kaldır ve soruya cevap ver.,Bu işi el birliği ile tamamladık.,Eline sağlık çok güzel bir yemek olmuş.,El yazısı çok okunaklı.,B,Turkish Semantics
36,Yol kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Yol çok uzundu ve yürümek zordu.,Kariyer yolunda hızlı adımlarla ilerliyor.,Yolculuk sırasında birçok yer gördü.,Yolda kalmış bir araba gördük.,B,Turkish Semantics
37,Soğuk kelimesi hangi cümlede mecaz anlamda kullanılmıştır?,Hava bugün çok soğuk.,Onun soğuk tavırları beni çok üzüyor.,Buzdolabındaki süt çok soğuk.,Soğuk su içmek serinletici.,B,Turkish Semantics
38,Aşağıdaki eserlerden hangisi Halide Edib Adıvar'a aittir?,Kuyucaklı Yusuf,Çalıkuşu,Sinekli Bakkal,Hanımın Çiftliği,C,Turkish Literature
39,Yahya Kemal Beyatlı'nın "Sessiz Gemi" şiirinde işlediği ana tema nedir?,Aşk,Ölüm,Yalnızlık,Doğa,B,Turkish Literature
40,Tutunamayanlar romanının yazarı kimdir?,Oğuz Atay,Orhan Pamuk,Ahmet Hamdi Tanpınar,Sabahattin Ali,A,Turkish Literature
41,Reşat Nuri Güntekin'in "Çalıkuşu" romanındaki Feride karakteri hangi mesleği yapmaktadır?,Doktor,Öğretmen,Hemşire,Yazar,B,Turkish Literature
42,Saatleri Ayarlama Enstitüsü adlı eserin yazarı kimdir?,Yakup Kadri Karaosmanoğlu,Reşat Nuri Güntekin,Ahmet Hamdi Tanpınar,Halide Edib Adıvar,C,Turkish Literature
43,Aşağıdaki eserlerden hangisi Nazım Hikmet Ran'a aittir?,Kürk Mantolu Madonna,İçimizdeki Şeytan,Memleketimden İnsan Manzaraları,İstanbul Hatırası,C,Turkish Literature
44,Aşağıdaki şairlerden hangisi "Garip" akımının temsilcilerinden biridir?,Orhan Veli Kanık,Ahmet Haşim,Nazım Hikmet,Mehmet Akif Ersoy,A,Turkish Literature
45,Ayaşlı ve Kiracıları romanı kime aittir?,Tarık Buğra,Yakup Kadri Karaosmanoğlu,Sait Faik Abasıyanık,Memduh Şevket Esendal,D,Turkish Literature
46,Küçük Ağa romanının yazarı kimdir?,Tarık Buğra,Halide Edib Adıvar,Reşat Nuri Güntekin,Yakup Kadri Karaosmanoğlu,A,Turkish Literature
47,Aşağıdaki eserlerden hangisi Zülfü Livaneli'ye aittir?,Serenad,İnce Memed,Anayurt Oteli,Kuyucaklı Yusuf,A,Turkish Literature
48,Aşağıdaki eserlerden hangisi bir tiyatro eseri değildir?,Keşanlı Ali Destanı,Ferhad ile Şirin,Kaplumbagalar,Şair Evlenmesi,C,Turkish Literature
49,Sinekli Bakkal romanının ana teması nedir?,Toplumsal değişim,Aşk ve romantizm,Savaşın etkileri,Bireysel mücadele,A,Turkish Literature
50,Kürk Mantolu Madonna romanında anlatılan aşk hikayesi hangi karakterler arasında geçer?,Raif ve Maria Puder,Ali ve Aysel,Mehmet ve Fatma,Kemal ve Füsun,A,Turkish Literature
51,Orhan Kemal'in "Bereketli Topraklar Üzerinde" romanı hangi konuyu işler?,Göç ve kentleşme,Toprak reformu,İşçi-işveren ilişkileri,Aşk ve ihanet,C,Turkish Literature
52,Ahmet Hamdi Tanpınar'ın "Huzur" romanında hangi dönem İstanbul'u anlatılır?,Osmanlı İmparatorluğu'nun kuruluş dönemi,Osmanlı İmparatorluğu'nun çöküş dönemi,Cumhuriyetin ilk yılları,Günümüz,C,Turkish Literature
53,Yaşar Kemal'in "İnce Memed" romanında başkahraman İnce Memed'in en büyük düşmanı kimdir?,Ali Bey,Abdi Ağa,Veli Efendi,Köylüler,B,Turkish Literature
54,Orhan Veli Kanık'ın "Garip" şiir akımıyla getirdiği yenilik nedir?,Aruz ölçüsünü kullanması,Serbest ölçüyle yazması,Divan edebiyatına yönelmesi,Halk şiirini benimsemesi,B,Turkish Literature
55,Aylak Adam romanının yazarı kimdir?,Oğuz Atay,Yusuf Atılgan,Adalet Ağaoğlu,Latife Tekin,B,Turkish Literature
56,Halide Edib Adıvar'ın "Vurun Kahpeye" romanında işlenen ana tema nedir?,Aşk ve ihanet,Milli mücadele,Sosyal adaletsizlik,Kadın hakları,B,Turkish Literature
57,Türkiye Cumhuriyeti'nin kurucusu ve ilk Cumhurbaşkanı kimdir?,İsmet İnönü,Mustafa Kemal Atatürk,Süleyman Demirel,Turgut Özal,B,Turkish Politics
58,1980 yılında Türkiye'de gerçekleştirilen askeri darbenin lideri kimdir?,Kenan Evren,Cemal Gürsel,Turgut Özal,Bülent Ecevit,A,Turkish Politics
59,Adalet ve Kalkınma Partisi (AKP) hangi yıl kurulmuştur?,1999,2001,2003,2005,B,Turkish Politics
60,Türkiye Cumhuriyeti'nde Cumhurbaşkanlığı Hükümet Sistemi'ne geçiş hangi yıl gerçekleşmiştir?,2014,2015,2017,2018,D,Turkish Politics
61,Gezi Parkı protestoları hangi yıl başlamıştır?,2011,2012,2013,2014,C,Turkish Politics
62,15 Temmuz 2016'da Türkiye'de ne olmuştur?,Genel seçimler,Askeri darbe girişimi,Ekonomik kriz,Deprem,B,Turkish Politics
63,2017 Anayasa değişikliği referandumunda Türkiye neyi oylamıştır?,Yeni anayasa,Parlamenter sisteme dönüş,Cumhurbaşkanlığı hükümet sistemi,Avrupa Birliği üyeliği,C,Turkish Politics
64,Cumhuriyet Halk Partisi (CHP) hangi yıl kurulmuştur?,1919,1923,1927,1931,B,Turkish Politics
65,Türkiye Büyük Millet Meclisi (TBMM) hangi yıl açılmıştır?,1919,1920,1921,1922,B,Turkish Politics
66,Recep Tayyip Erdoğan'ın ilk Başbakan olduğu yıl hangisidir?,2001,2002,2003,2004,C,Turkish Politics
67,1980 öncesinde Türkiye'de yaşanan siyasi ve toplumsal çatışmalara verilen ad nedir?,Soğuk Savaş,İç Savaş,12 Eylül Olayları,Kara Eylül,D,Turkish Politics
68,Susurluk Kazası olarak bilinen olay hangi yıl gerçekleşmiştir?,1992,1994,1996,1998,C,Turkish Politics
69,Türkiye'nin ilk kadın Başbakanı kimdir?,Tansu Çiller,Meral Akşener,Emine Ülker Tarhan,Fatma Şahin,A,Turkish Politics
70,Milliyetçi Hareket Partisi'nin (MHP) kurucusu kimdir?,Alparslan Türkeş,Devlet Bahçeli,Turgut Özal,Süleyman Demirel,A,Turkish Politics
71,28 Şubat süreci olarak bilinen post-modern darbe hangi yıl gerçekleşmiştir?,1995,1996,1997,1998,C,Turkish Politics
72,2023 Türkiye genel seçimlerinde hangi parti en fazla oy almıştır?,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,İyi Parti,Milliyetçi Hareket Partisi,B,Turkish Politics
73,Mavi Vatan kavramı Türkiye'nin hangi politikasıyla ilgilidir?,Tarım politikası,Denizcilik ve deniz hakları,Enerji politikası,Turizm politikası,B,Turkish Politics
74,1974 Kıbrıs Barış Harekatı hangi başbakan döneminde gerçekleşmiştir?,Bülent Ecevit,Süleyman Demirel,Adnan Menderes,Turgut Özal,A,Turkish Politics
75,12 Mart 1971'de Türkiye'de ne olmuştur?,Askeri darbe,Türkiye'nin NATO üyeliği,Avrupa Birliği'ne üyelik başvurusu,Ekonomik reform paketi,A,Turkish Politics
76,Türkiye'nin en uzun süre görev yapan Cumhurbaşkanı kimdir?,Mustafa Kemal Atatürk,İsmet İnönü,Turgut Özal,Recep Tayyip Erdoğan,D,Turkish Politics
77,Türkiye'nin milli içeceği olarak kabul edilen içecek hangisidir?,Çay,Kahve,Rakı,Ayran,D,Turkish Culture
78,Türk kahvesi pişirilirken hangi malzeme kullanılmaz?,Su,Şeker,Krema,Kahve,C,Turkish Culture
79,Mevlana'nın türbesi hangi şehirde bulunmaktadır?,İstanbul,Ankara,Konya,İzmir,C,Turkish Culture
80,Hangi Türk bayramı "Nevruz" olarak da bilinir?,Kurban Bayramı,Ramazan Bayramı,Zafer Bayramı,Hıdırellez,D,Turkish Culture
81,Hangi Türk yemeği genellikle "döner" olarak adlandırılır?,Kebap,İskender,Adana kebabı,Şiş kebap,B,Turkish Culture
82,Karagöz ve Hacivat hangi Türk sanatının örneğidir?,Tiyatro,Gölge oyunu,Opera,Bale,B,Turkish Culture
83,Türk mitolojisinde sıkça bahsedilen kutsal dağ hangisidir?,Ağrı Dağı,Erciyes Dağı,Toros Dağları,Kaf Dağı,D,Turkish Culture
84,Hangi Türk şarkıcı 1970'lerin sonunda ve 1980'lerde büyük başarı elde etmiştir?,Barış Manço,Sezen Aksu,Tarkan,Cem Karaca,A,Turkish Culture
85,Türkiye'nin en büyük gölü hangisidir?,Tuz Gölü,Van Gölü,Beyşehir Gölü,Eğirdir Gölü,B,Turkish Culture
86,Hangi Türk tatlısı yufka ve ceviz ve şerbet ile yapılır?,Baklava,Künefe,Şekerpare,Sütlaç,A,Turkish Culture
87,Halk Edebiyatı şairlerinden biri olan Karacaoğlan hangi dönemde yaşamıştır?,Osmanlı İmparatorluğu,Selçuklu İmparatorluğu,Cumhuriyet Dönemi,Modern Dönem,A,Turkish Culture
88,Türk sinemasında "Yeşilçam" dönemi hangi yıllar arasında kabul edilir?,1920-1940,1950-1980,1980-2000,2000 ve sonrası,B,Turkish Culture
89,Hangi şehir Türkiye'nin kültür başkenti olarak bilinir?,İstanbul,Ankara,İzmir,Antalya,A,Turkish Culture
90,Fuzuli'nin "Leyla ile Mecnun" mesnevisi hangi Türk edebiyat türünün örneğidir?,Modern Roman,Halk Hikayesi,Divan Edebiyatı,Masal,C,Turkish Culture
91,Türk halk oyunlarından biri olan "Horon" hangi bölgeyle eşleştirilir?,Ege Bölgesi,Karadeniz Bölgesi,Marmara Bölgesi,Doğu Anadolu Bölgesi,B,Turkish Culture
92,Yağlı Güreş etkinlikleri hangi şehirde düzenlenen Kırkpınar Güreş Festivali ile ünlüdür?,Edirne,Bursa,Antalya,İstanbul,A,Turkish Culture
93,Ebru sanatı nedir?,Dokuma sanatı,Tahta oyma sanatı,Suda yüzen boyalarla yapılan kağıt süsleme sanatı,Seramik sanatı,C,Turkish Culture
94,Türk mutfağında "mantı" genellikle hangi malzeme ile doldurulur?,Peynir,Ispanak,Et,Patates,C,Turkish Culture
95,Mehteran nedir?,Geleneksel Türk mutfağı,Geleneksel Türk askeri bandosu,Bir tür halk oyunu,Bir tür şerbet,B,Turkish Culture
96,Kına gecesi hangi geleneksel Türk töreninin bir parçasıdır?,Doğum töreni,Düğün töreni,Sünnet töreni,Bayram kutlaması,B,Turkish Culture
97,Türklerin Orta Asya'dan Anadolu'ya göç etmeye başlaması hangi savaş ile hızlanmıştır?,Kurtuluş Savaşı,Sakarya Meydan Muharebesi,Malazgirt Savaşı,Miryokefalon Savaşı,C,Turkish History
98,İstanbul'un fethi hangi padişah döneminde gerçekleşmiştir?,Yavuz Sultan Selim,Fatih Sultan Mehmet,Kanuni Sultan Süleyman,II. Bayezid,B,Turkish History
99,İstiklal Marşının yazarı kimdir?,Yahya Kemal Beyatlı,Mehmet Akif Ersoy,Orhan Veli Kanık,Namık Kemal,B,Turkish History
100,Osmanlı İmparatorluğu'nda ilk anayasayı (Kanun-i Esasi) ilan eden padişah kimdir?,II. Abdülhamid,I. Mahmud,III. Selim,V. Murad,A,Turkish History
101,Türk Kurtuluş Savaşı hangi antlaşma ile sona ermiştir?,Mondros Mütarekesi,Mudanya Ateşkes Antlaşması,Sevr Antlaşması,Lozan Antlaşması,D,Turkish History
102,Mustafa Kemal Atatürk'ün Samsun'a çıkarak Kurtuluş Savaşı'nı başlattığı tarih nedir?,19 Mayıs 1919,23 Nisan 1920,29 Ekim 1923,30 Ağustos 1922,A,Turkish History
103,Tanzimat Fermanı hangi padişah döneminde ilan edilmiştir?,II. Mahmud,Abdülmecid,I. Abdülhamid,IV. Murad,B,Turkish History
104,Türkiye Cumhuriyeti'nin ilk Başbakanı kimdir?,İsmet İnönü,Celal Bayar,Adnan Menderes,Turgut Özal,A,Turkish History
105,Osmanlı İmparatorluğu'nda "Lale Devri" olarak bilinen dönem hangi padişah döneminde yaşanmıştır?,III. Ahmet,I. Abdülhamid,II. Mahmud,I. Mustafa,A,Turkish History
106,Osmanlı İmparatorluğu'nun ilk başkenti neresidir?,İstanbul,Ankara,Edirne,Bursa,D,Turkish History
107,Ankara'nın Türkiye'nin başkenti olarak ilan edilmesi hangi yıl gerçekleşmiştir?,1920,1923,1925,1930,B,Turkish History
108,Osmanlı İmparatorluğu'nun en uzun süre tahtta kalan padişahı kimdir?,Kanuni Sultan Süleyman,II. Abdülhamid,IV. Murad,Fatih Sultan Mehmet,A,Turkish History
109,Kurtuluş Savaşı'nın ilk zaferi olan "Sakarya Meydan Muharebesi" hangi yıl gerçekleşmiştir?,1919,1920,1921,1922,C,Turkish History
110,II. Meşrutiyet hangi yıl ilan edilmiştir?,1876,1908,1920,1930,B,Turkish History
111,Osmanlı İmparatorluğu'nun Batı'ya karşı ilk büyük zaferi hangi savaşta kazanılmıştır?,Kosova Savaşı,Niğbolu Savaşı,Varna Savaşı,Mohaç Savaşı,B,Turkish History
112,Cumhuriyet ilan edildikten sonra Türkiye'nin ilk Cumhurbaşkanı kim olmuştur?,İsmet İnönü,Celal Bayar,Mustafa Kemal Atatürk,Fevzi Çakmak,C,Turkish History
113,Osmanlı İmparatorluğu'nun ilk anayasası olan "Kanun-i Esasi" hangi yıl ilan edilmiştir?,1839,1856,1876,1908,C,Turkish History
114,İstiklal Marşı hangi tarihte TBMM tarafından kabul edilmiştir?,1920,1921,1922,1923,B,Turkish History
115,Bir tren saatte 90 km hızla giderek 3 saatte kaç km yol alır?,270 km,300 km,250 km,200 km,A,Numeric Reasoning
116,Bir ABCD dikdörtgeninin AB kenarı 10 cm, BC 5 cm'dir. Dikdörtgenin çevresi kaç cm'dir?,30 cm,25 cm,20 cm,35 cm,A,Numeric Reasoning
117,Bir otomobil 60 km/h hızla hareket ettiğinde 3 saatte kaç km yol alır?,180 km,200 km,150 km,160 km,A,Numeric Reasoning
118,4'ün karesi ile 3'ün küpünün toplamı kaçtır?,91,64,81,73,A,Numeric Reasoning
119,Bir havuz 5 saatte dolmaktadır. Aynı havuz 2 saatte kaçta kaçı dolar?,2/5,1/3,1/2,2/3,A,Numeric Reasoning
120,2^32 litrelik bir havuz her gün 2^2 litre su ile dolduruluyor. Su, havuzun yarısına kaçıncı günde gelmiştir?,8,12,29",16,C,Numeric Reasoning,
121,Bir araba yarım saatte 60 km hızla 3 saat boyunca yol alırsa, toplam kaç km yol almış olur?,180 km,360 km,150 km,220 km,A,Numeric Reasoning
122,Bir işçi 5 saatte 25 birim iş yapıyorsa, aynı hızla çalışırsa 8 saatte kaç birim iş yapar?,40 birim,35 birim,45 birim,50 birim,D,Numeric Reasoning
123,Bir mağaza %15 indirimle 170 TL'ye satılan bir ürünü indirimsiz kaç TL'ye satıyordu?,200 TL,180 TL,190 TL,210 TL,A,Numeric Reasoning
124,Bir sayının %25'i 80 ise, bu sayı kaçtır?,320,300,350,400,A,Numeric Reasoning
125,Bir kasada 400 elma vardır. Her gün 80 elma satılırsa, kaç gün sonra kasada elma kalmaz?,5 gün,4 gün,6 gün,8 gün,A,Numeric Reasoning
126,Bir işçi 6 saatte 90 birim iş yapıyorsa, aynı hızla çalışarak 10 saatte kaç birim iş yapar?,150 birim,140 birim,160 birim,130 birim,A,Numeric Reasoning
127,Bir dikdörtgenin alanı 48 cm², kısa kenarı 6 cm ise, uzun kenarı kaç cm'dir?,8 cm,7 cm,6 cm,9 cm,A,Numeric Reasoning
128,Bir arabada 5 litre benzin vardır. Bu araba 1 litre benzin ile 12 km yol gidiyorsa, toplam kaç km yol gidebilir?,60 km,70 km,50 km,80 km,A,Numeric Reasoning
129,Bir kişi günde 8 saat çalışarak bir işi 15 günde bitiriyorsa, aynı işi günde 6 saat çalışarak kaç günde bitirir?,20 gün,18 gün,22 gün,25 gün,A,Numeric Reasoning
130,Bir su deposu dakikada 4 litre su ile doluyorsa, 2 saatte kaç litre su dolar?,480 litre,450 litre,500 litre,400 litre,A,Numeric Reasoning
131,Bir bisikletçi 3 saatte 45 km yol gidiyorsa, 5 saatte kaç km yol gider?,75 km,70 km,80 km,65 km,A,Numeric Reasoning
132,Bir markette 6 TL olan bir ürün %10 zamlanırsa, yeni fiyatı kaç TL olur?,6.6 TL,6.5 TL,7 TL,6.8 TL,A,Numeric Reasoning
133,Bir saatin %20'si kaç dakikadır?,12 dakika,15 dakika,18 dakika,24 dakika,A,Numeric Reasoning
134,Bir sayının %40'ı 50 ise, bu sayının %60'ı kaçtır?,75,70,80,65,A,Numeric Reasoning
135,Bir dikdörtgenin alanı 72 cm², kısa kenarı 6 cm ise, uzun kenarı kaç cm'dir?,12 cm,10 cm,9 cm,8 cm,C,Numeric Reasoning
136,Bir tarlada 500 kg buğday üretiliyor. Bu tarlada %20 daha fazla buğday üretilseydi, kaç kg buğday üretilirdi?,600 kg,550 kg,500 kg,700 kg,B,Numeric Reasoning
137,Bir kitapçıda %25 indirimle 120 TL'ye satılan bir kitabın indirimsiz fiyatı kaç TL'dir?,160 TL,150 TL,140 TL,180 TL,A,Numeric Reasoning
138,Bir sayının küpü 27 ise, bu sayı kaçtır?,3,9,27,1,A,Mathematics
139,(2^3).(2^2) işleminin sonucu nedir?,16,8,32,4,C,Mathematics
140,Bir dik üçgende hipotenüsün uzunluğu 10 cm ve bir dik kenar 6 cm ise, diğer dik kenar kaç cm'dir?,4 cm,8 cm,5 cm,3 cm,B,Mathematics
141,Bir dikdörtgenin uzun kenarı 12 cm, kısa kenarı 5 cm ise, dikdörtgenin çevresi kaç cm'dir?,34 cm,30 cm,24 cm,40 cm,A,Mathematics
142,(3/4) + (2/3) işleminin sonucu nedir?,17/12,5/7,6/7,5/12,A,Mathematics
143,Bir çemberin çapı 14 cm ise, yarıçapı kaç cm'dir?,7 cm,14 cm,28 cm,21 cm,A,Mathematics
144,(x^2) - 4 = 0 denkleminin kökleri nelerdir?,2 ve -2,4 ve -4,2 ve 4,-2 ve 4,A,Mathematics
145,Bir sayının %25'i 50 ise, bu sayı kaçtır?,200,150,250,400,A,Mathematics
146,5x + 3 = 23 denkleminin çözümü nedir?,4,5,3,6,A,Mathematics
147,Bir üçgenin kenar uzunlukları 7 cm, 24 cm ve 25 cm ise, bu üçgenin çeşidi nedir?,Dik üçgen,Eşkenar üçgen,İkizkenar üçgen,Çeşitkenar üçgen,A,Mathematics
148,Bir dikdörtgen prizmanın hacmi nasıl hesaplanır?,Uzunluk * Genişlik * Yükseklik,Uzunluk + Genişlik + Yükseklik,Uzunluk * Genişlik,Genişlik * Yükseklik,A,Mathematics
149,Bir aritmetik dizide ilk terim 4, ortak fark 6 ise, dördüncü terim kaçtır?,16,18,22,26,C,Mathematics
150,Bir kenar uzunluğu 5 cm olan karenin alanı kaç cm²'dir?,25 cm²,20 cm²,30 cm²,15 cm²,A,Mathematics
151,Bir sayı 12'nin 3 katından 5 eksiktir. Bu sayı kaçtır?,31,35,36,29,D,Mathematics
152,Bir dik üçgenin bir dik kenarı 9 cm, diğer dik kenarı 12 cm ise, hipotenüsü kaç cm'dir?,15 cm,16 cm,13 cm,10 cm,A,Mathematics
153,Bir küpün içinden çapı küpün kenar uzunluğuna eşit olan bir küre oyulursa, kalan hacim küpün hacminin kaçta kaçı olur?,1/6,7/8,2/3,5/6,B,Hard Geometry
154,Bir dik üçgende hipotenüs 10 cm ve bir dik kenar 6 cm ise, diğer dik kenar kaç cm'dir?,4 cm,8 cm,5 cm,√16 cm,C,Hard Geometry
