16,"Bir sayının %40'ı 50 ise, bu sayının %60'ı kaçtır?","75","70","80","65",A,"Numeric Reasoning"
18,"Bir dikdörtgenin alanı 72 cm², kısa kenarı 6 cm ise, uzun kenarı kaç cm'dir?","12 cm","10 cm","9 cm","8 cm",C,"Numeric Reasoning"
19,"Bir tarlada 500 kg buğday üretiliyor. Bu tarlada %20 daha fazla buğday üretilseydi, kaç kg buğday üretilirdi?","600 kg","550 kg","500 kg","700 kg",B,"Numeric Reasoning"
20,"Bir kitapçıda %25 indirimle 120 TL'ye satılan bir kitabın indirimsiz fiyatı kaç TL'dir?","160 TL","150 TL","140 TL","180 TL",A,"Numeric Reasoning"
1,"Bir sayının küpü 27 ise, bu sayı kaçtır?","3","9","27","1",A,"Mathematics"
2,"(2^3).(2^2) işleminin sonucu nedir?","16","8","32","4",C,"Mathematics"
3,"Bir dik üçgende hipotenüsün uzunluğu 10 cm ve bir dik kenar 6 cm ise, diğer dik kenar kaç cm'dir?","4 cm","8 cm","5 cm","3 cm",B,"Mathematics"
4,"Bir dikdörtgenin uzun kenarı 12 cm, kısa kenarı 5 cm ise, dikdörtgenin çevresi kaç cm'dir?","34 cm","30 cm","24 cm","40 cm",A,"Mathematics"
5,"(3/4) + (2/3) işleminin sonucu nedir?","17/12","5/7","6/7","5/12",A,"Mathematics"
6,"Bir çemberin çapı 14 cm ise, yarıçapı kaç cm'dir?","7 cm","14 cm","28 cm","21 cm",A,"Mathematics"
7,"(x^2) - 4 = 0 denkleminin kökleri nelerdir?","2 ve -2","4 ve -4","2 ve 4","-2 ve 4",A,"Mathematics"
8,"Bir sayının %25'i 50 ise, bu sayı kaçtır?","200","150","250","400",A,"Mathematics"
9,"5x + 3 = 23 denkleminin çözümü nedir?","4","5","3","6",A,"Mathematics"
10,"Bir üçgenin kenar uzunlukları 7 cm, 24 cm ve 25 cm ise, bu üçgenin çeşidi nedir?","Dik üçgen","Eşkenar üçgen","İkizkenar üçgen","Çeşitkenar üçgen",A,"Mathematics"
12,"Bir dikdörtgen prizmanın hacmi nasıl hesaplanır?","Uzunluk * Genişlik * Yükseklik","Uzunluk + Genişlik + Yükseklik","Uzunluk * Genişlik","Genişlik * Yükseklik",A,"Mathematics"
13,"Bir aritmetik dizide ilk terim 4, ortak fark 6 ise, dördüncü terim kaçtır?","16","18","22","26",C,"Mathematics"
14,"Bir kenar uzunluğu 5 cm olan karenin alanı kaç cm²'dir?","25 cm²","20 cm²","30 cm²","15 cm²",A,"Mathematics"
16,"Bir sayı 12'nin 3 katından 5 eksiktir. Bu sayı kaçtır?","31","35","36","29",D,"Mathematics"
19,"Bir dik üçgenin bir dik kenarı 9 cm, diğer dik kenarı 12 cm ise, hipotenüsü kaç cm'dir?","15 cm","16 cm","13 cm","10 cm",A,"Mathematics"
1,"Bir küpün içinden çapı küpün kenar uzunluğuna eşit olan bir küre oyulursa, kalan hacim küpün hacminin kaçta kaçı olur?","1/6", "7/8","2/3","5/6",B,"Hard Geometry"
2,"Bir dik üçgende hipotenüs 10 cm ve bir dik kenar 6 cm ise, diğer dik kenar kaç cm'dir?","4 cm","8 cm","5 cm","√16 cm",C,"Hard Geometry"
3,"Bir düzgün beşgenin bir iç açısı kaç derecedir?","108 derece","120 derece","135 derece","144 derece",A,"Hard Geometry"
4,"Bir koninin yüksekliği ve taban çapı eşit olup her biri 12 cm ise, koninin hacmi kaç cm³'tür? (π = 3.14 alınız)","432 cm³","864 cm³","1728 cm³","108 cm³",A,"Hard Geometry"
5,"Bir elipsin büyük eksen uzunluğu 10 cm ve küçük eksen uzunluğu 8 cm ise, elipsin alanı kaç cm²'dir? (π = 3.14 alınız)","40 cm²","80 cm²","20 cm²","62.8 cm²",B,"Hard Geometry"
6,"Bir düzgün dodekahedronun (12 yüzlü çokgen) bir yüzünün alanı 25 cm² ise, toplam yüzey alanı kaç cm²'dir?","250 cm²","300 cm²","400 cm²","500 cm²",D,"Hard Geometry"
7,"Bir kürenin yüzey alanı 144π cm² ise, yarıçapı kaç cm'dir?","6 cm","12 cm","8 cm","10 cm",A,"Hard Geometry"
8,"Bir dört yüzlü piramidin (tetrahedron) hacmi 24 cm³ ve taban alanı 8 cm² ise, yüksekliği kaç cm'dir?","9 cm","6 cm","3 cm","4 cm",C,"Hard Geometry"
9,"Bir küre diliminin hacmi, kürenin hacminin 1/4 üdür. Bu küre diliminin merkezi açısı kaç derecedir?","30 derece","45 derece","60 derece","90 derece",D,"Hard Geometry"
10,"Bir prizmanın taban alanı 20 cm², yüksekliği 15 cm ve yanal yüzey alanı 300 cm² ise, prizmanın toplam yüzey alanı kaç cm²'dir?","400 cm²","600 cm²","350 cm²","500 cm²",A,"Hard Geometry"
8,"Bir matrisin determinantı nasıl hesaplanır?","Sadece köşegen elemanların çarpımı","Satır ve sütunların toplamı","Laplace açılımı ile","Tüm elemanların toplamı",C,"Hard Mathematics"
2,"f(x) = x^3 - 3x + 2 fonksiyonunun kritik noktaları nelerdir?","1, -1","1, 2","0, 1","-1, 2",A,"Hard Mathematics"
3,"Bir doğrusal denklemler sisteminde 3x + 2y = 5 ve 4x - y = 6 denklemlerinin çözüm kümesi nedir?","x = 1, y = 1","x = 2, y = -1","x = 0, y = 2","x = 3, y = -2",B,"Hard Mathematics"
4,"Bir matrisin tersinin var olup olmadığını belirleyen ifade nedir?","Determinantı 0 ise tersi vardır","Determinantı 0 değilse tersi vardır","Transpozu simetrikse tersi vardır","Köşegen elemanlar pozitifse tersi vardır",B,"Hard Mathematics"
5,"f(x) = x^3 - 6x^2 + 9x + 1 fonksiyonunun yerel minimum noktası nedir?","x = 1","x = 2","x = 3","x = 0",C,"Hard Mathematics"
6,"Bir üçgenin iki kenarının uzunluğu 5 cm ve 7 cm'dir. Üçüncü kenarın uzunluğu için aşağıdakilerden hangisi doğrudur?","2 cm ile 12 cm arasında","1 cm ile 11 cm arasında","3 cm ile 13 cm arasında","0 cm ile 10 cm arasında",A,"Hard Mathematics"
7,"e^{x^2} fonksiyonunun türevi nedir?","2xe^{x^2}","x e^{x}","e^{x^2}","2x e^{2x}",A,"Hard Mathematics"
9," ∫sin(x)dx integrali nedir?","-cos(x) + C ","sin(x) + C","cos(x) + C","-sin(x) + C",A,"Hard Mathematics"
10,"d/dx​(x^2.ln(x)) nedir?","(2x.ln(x)) + x","(2x.ln⁡(x)) + x^2","(x.ln(x)) + 2x","(x^2).ln(x)",B,"Hard Mathematics"
11,"Bir kümenin alt kümelerinin sayısı 256 ise, bu küme kaç elemanlıdır?","7","8","9","10",B,"Hard Mathematics"
13,"Bir dikdörtgen prizmanın köşegen uzunluğu 13 cm, iki kenarı 5 cm ve 12 cm ise, üçüncü kenar uzunluğu kaç cm'dir?","1 cm","4 cm","3 cm","2 cm",A,"Hard Mathematics"
14,"Bir kürenin yüzey alanı 36π cm² ise, kürenin hacmi nedir?","36π cm³","48π cm³","72π cm³","64π cm³",C,"Hard Mathematics"
15,"d/dx​(1/x​) nedir?","−(1/(x^2))","1/(x^2)","2/(x^2)","-(2/(x^2))",A,"Hard Mathematics"
16,"Bir parabolün tepe noktası nasıl bulunur?","-b/2a"," b/2a","-b/a","b/a",A,"Hard Mathematics"
8,"Bir parabolün odak noktası nasıl bulunur?","x = -b/2a","y = c - ((b^2)/4a)","y = 1/4a","x = -a/2b",B,"Hard Mathematics"
17,"Bir kompleks sayının modülü nedir?","Gerçek kısmı","İmajiner kısmı","Karesi","Mutlak değeri",D,"Hard Mathematics"
19,"Bir matrisin determinantı sıfırsa, matris ne türdür?","Terslenebilir","Terslenemez","Simetrik","Ortogonal",B,"Hard Mathematics"
21,"∫x(e^x)dx integrali nedir?","(x.(e^x)) - e^x + C","e^x - (x.(e^x)) + C","(x.(e^x)) + e^x + C","e^x + (x.(e^x)) + C",A,"Hard Mathematics"
22,"Bir doğru parçasının orta noktasının koordinatları nasıl bulunur?","(x_1 + x_2)/2, (y_1 + y_2)/2","(x_1 - x_2)/2, (y_1 - y_2)/2","(x_1 + x_2), (y_1 + y_2)","(x_1 + x_2)/2, (y_1 + y_2)",A,"Hard Mathematics"
23,"Bir çemberin merkez açısının ölçüsü 60 derece ise, bu açıya karşılık gelen yay uzunluğu nedir? (r = 10 cm, π = 3.14 alınız)","10.47 cm","6.28 cm","5.24 cm","20.94 cm",A,"Hard Mathematics"
24,"√(-4)^2 işleminin sonucu nedir?","-4","4","16","-16",B,"Hard Mathematics"
25,"Bir üçgenin alanı taban uzunluğu ve yüksekliği ile nasıl hesaplanır?","Taban.Yükseklik","(Taban.Yükseklik)/2","(Taban + Yükseklik)/2","Taban + Yükseklik",B,"Hard Mathematics"
26,"Bir logaritma fonksiyonunun türevi nedir?","1/x","1/(ln(x))","ln(x)","ln(x^2)",A,"Hard Mathematics"
27,"Bir türev fonksiyonunun integrali nedir?","Orijinal fonksiyon","Türev fonksiyonu","Sabit bir değer","Sıfır",A,"Hard Mathematics"
28,"Bir üçgenin kenarları arasındaki ilişkiyi ifade eden kural nedir?","Pisagor teoremi","Üçgen eşitsizliği","Sinüs teoremi","Kosinüs teoremi",B,"Hard Mathematics"
30,"Bir üçgenin çevresi 24 cm, bir kenarı 8 cm ise, diğer iki kenarın toplamı kaç cm'dir?","8 cm","16 cm","12 cm","20 cm",B,"Hard Mathematics"
5,"Bir küpün içinden çapı küpün kenar uzunluğuna eşit olan bir küre oyulursa, kalan hacim küpün hacminin kaçta kaçı olur?","1/6","7/8","2/3","5/6",B,"Hard Mathematics"
10,"Bir doğru ile bir eğri arasındaki en kısa mesafeyi bulmak için kullanılan yöntem nedir?","Lagrange Çarpanları Yöntemi","Newton Yöntemi","Türev Yöntemi","Taylor Serisi",A,"Hard Mathematics"
